Сценарий,Лучший по времени вставки,Лучший по памяти после GC,Лучший по памяти на уникальное значение,Лучший по времени сериализации
"40% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"40% дублей, Zipf",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"10% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"40% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"80% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
Длиннее (до 12),Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
Короткие строки (до 4),Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
Средние строки (до 8),Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
100 тыс. записей,Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
1 млн записей,Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
5 млн записей,Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"Длинные строки, 95% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Интернирование
"Длинные строки, 95% дублей, Zipf",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"Очень длинные строки, 95% дублей, uniform",Базовое хранилище,Базовое хранилище,Базовое хранилище,Базовое хранилище
"Очень длинные строки, 99% дублей, Zipf",Базовое хранилище,Unique V1 (только handle),Unique V1 (только handle),Базовое хранилище
